연번,시도,시군구,기관명,주소,기관 대표전화,위수탁기간,시설유형구분,특화서비스,응급안전안심서비스,방문요양서비스,재가노인복지서비스,사회서비스원 소속,사회서비스형 노인일자리 파견 이용,위도,경도,주소2
342,경기도,포천시,포천나눔의집 돌봄센터,경기도 포천시 신북면 중앙로 207번길 23,031-535-1044,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.90475941,127.2061844,경기도 포천시 신북면 중앙로 207번길 23
343,경기도,포천시,포천시노인복지관,경기도 포천시 군내면 청성로 5,031-8083-7777,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,37.90019093,127.2139767,경기도 포천시 군내면 청성로 5
344,경기도,하남시,영락재가노인지원서비스센터,경기도 하남시 안터로 55-1 영락재가노인지원서비스센터 1층,031-794-9368,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당,해당,해당없음,해당,해당없음,해당없음,37.54630143,127.1851951,경기도 하남시 안터로 55-1 영락재가노인지원서비스센터 1층
345,경기도,화성시,화성시동탄노인복지관,경기도 화성시 동탄대로8길 36 C동 1층,031-8077-1888,2024-01-01 ~ 2027-12-31 (4년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,37.17054785,127.1104567,경기도 화성시 동탄대로8길 36 C동 1층
346,경기도,화성시,화성시서부노인복지관,"경기도 화성시 남양읍 시청로 155, 모두누림센터4층, 화성시서부노인복지관",031-8077-2605,2022-01-01 ~ 2026-12-31 (5년),노인여가복지시설,해당없음,해당,해당없음,해당,해당없음,해당없음,37.1988539,126.8286271,경기도 화성시 남양읍 시청로 155
347,경기도,화성시,화성시남부노인복지관,경기도 화성시 향남읍 토성로 37-22,031-366-5678,2024-01-01 ~ 2027-12-31 (4년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,37.11701298,126.9609335,경기도 화성시 향남읍 토성로 37-22
348,경기도,화성시,화성시서부종합사회복지관,경기도 화성시 송산면 사강로 145,031-366-7390,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.21302685,126.7320235,경기도 화성시 송산면 사강로 145
349,경기도,화성시,화성재가노인지원서비스센터,경기 화성시 비봉면 새비봉동로 37 (화성비봉LH1단지아파트) 관리사무소 건물내,031-357-3801,2024-01-01 ~ 2024-12-31 (1년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.24458659,126.8759623,경기 화성시 비봉면 새비봉동로 37  관리사무소 건물내
350,경기도,화성시,화성시정조효노인복지관,경기 화성시 용주로152번길 27 (송산동),031-898-9833,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,37.21194962,127.0027277,경기 화성시 용주로152번길 27
351,강원특별자치도,강릉시,사회적협동조합마음별,"강원도 강릉시 홍제로 63-1, 4층",033-642-3438,2024-01-01 ~ 2026-12-31 (3년),협동조합,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.75322172,128.8852404,강원도 강릉시 홍제로 63-1
352,강원특별자치도,강릉시,엘림의료복지사회적협동조합,강원특별자치도 강릉시 옥천로19번길 27 (옥천동) 2층,033-641-8841,2024-01-01 ~ 2026-12-31 (3년),협동조합,해당,해당,해당없음,해당없음,해당없음,해당없음,37.75582081,128.9009058,강원특별자치도 강릉시 옥천로19번길 27  2층
353,강원특별자치도,강릉시,가가호호맞춤돌봄지원센터,"강원특별자치도 강릉시 산양큰길 20, 3층 (포남동)",033-653-4004,2024-01-01 ~ 2026-12-31 (3년),사회복지법인,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.77901779,128.9157643,강원특별자치도 강릉시 산양큰길 20
354,강원특별자치도,동해시,동해시노인종합복지관 U-Care센터,"강원특별자치도 동해시 선돌길 19 (단봉동, 동해시U-Care센터)",033-520-5100,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당,해당,해당,해당없음,해당없음,37.48071001,129.1244979,강원특별자치도 동해시 선돌길 19
355,강원특별자치도,삼척시,삼척시종합사회복지관,강원도 삼척시 원당로2길 72-6 노인맞춤돌봄서비스사업팀(3층),033-576-0923,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당,해당,해당없음,해당없음,해당없음,해당없음,37.43741072,129.1528463,강원도 삼척시 원당로2길 72-6 노인맞춤돌봄서비스사업팀
356,강원특별자치도,삼척시,삼척시노인복지관,강원특별자치도 삼척시 봉황로 85 삼척시노인복지관,033-575-1389,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.44560809,129.1715242,강원특별자치도 삼척시 봉황로 85 삼척시노인복지관
357,강원특별자치도,속초시,속초시노인복지관,"강원 속초시 동해대로 4219 (교동) 2층 노인복지관 노인맞춤돌봄서비스 사무실(구, 바르게 살기 운동본부)",033-633-3341,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당없음,해당,해당,해당없음,해당,38.19606865,128.5771067,강원 속초시 동해대로 4219
358,강원특별자치도,속초시,속초U-care센터,강원 속초시 동해대로3930번길 24-3 (조양동),033-635-0091,2024-01-01 ~ 2028-12-31 (5년),노인맞춤돌봄전담시설,해당,해당,해당없음,해당없음,해당없음,해당,38.18547945,128.6030293,강원 속초시 동해대로3930번길 24-3
359,강원특별자치도,원주시,원주가톨릭노인복지센터,강원도 원주시 봉산로 103,033-744-0677,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,37.34683901,127.9573253,강원도 원주시 봉산로 103
360,강원특별자치도,원주시,명륜종합사회복지관,강원도 원주시 예술관길 25,033-762-8131,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당,해당없음,해당,해당,해당없음,해당없음,37.33265615,127.9421272,강원도 원주시 예술관길 25
361,강원특별자치도,원주시,원주종합사회복지관,강원도 원주시 육판길 1,033-732-4006,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.35721667,127.9677822,강원도 원주시 육판길 1
362,강원특별자치도,원주시,밥상공동체종합사회복지관,강원도 원주시 일산로 81-2,033-766-4933,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.34597186,127.9505957,강원도 원주시 일산로 81-2
363,강원특별자치도,원주시,원주시노인종합복지관,"강원 원주시 동부순환로 9-6 (단구동, 원주노인종합복지관)",033-766-0601,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.3186659,127.9693098,강원 원주시 동부순환로 9-6
364,강원특별자치도,춘천시,춘천동부노인복지관,강원특별자치도 춘천시 동면 세실로 250 동부노인복지관 지하 맞춤돌봄서비스 사무실,033-255-8866,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,37.87991631,127.7578788,강원특별자치도 춘천시 동면 세실로 250 동부노인복지관 지하 맞춤돌봄서비스 사무실
365,강원특별자치도,춘천시,춘천남부노인복지관,"강원특별자치도 춘천시 방송길 86 (온의동, 강남동행정복지센터, 춘천남부노인복지관)",033-241-5601,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,37.86785249,127.7188943,강원특별자치도 춘천시 방송길 86
366,강원특별자치도,춘천시,춘천북부노인복지관,강원도 춘천시 충열로 124(우두동),033-255-9877,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.9014421,127.7325645,강원도 춘천시 충열로 124
367,강원특별자치도,춘천시,춘천효자종합사회복지관,"강원특별자치도 춘천시 공지로 234-16 (효자동, 효자주공8단지아파트)",033-261-1790,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당없음,해당없음,해당,해당,해당없음,해당없음,37.86394816,127.7390557,강원특별자치도 춘천시 공지로 234-16
368,강원특별자치도,태백시,태백노인복지센터,"강원도 태백시 황지로99, 3층",033-553-9425,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당,해당,해당,해당,해당,해당,37.16768303,128.9917358,강원도 태백시 황지로99
369,강원특별자치도,태백시,태백시노인복지관,"강원특별자치도 태백시 황장목이길 23 (문곡동, 태백시노인복지관)",033-581-5117,2023-01-09 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당,37.13071921,129.0034282,강원특별자치도 태백시 황장목이길 23
370,강원특별자치도,고성군,고성군노인복지관,강원특별자치도 고성군 간성읍 간성로67번길 13 (고성군노인복지관),033-682-8007,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,38.37830971,128.4677077,강원특별자치도 고성군 간성읍 간성로67번길 13
371,강원특별자치도,양구군,사회복지법인 아름다운동행,강원 양구군 국토정중앙면 정중앙로 294,033-481-2417,2020-01-01 ~ 2024-12-31 (5년),사회복지법인,해당없음,해당,해당,해당,해당없음,해당없음,38.10657766,128.0314704,강원 양구군 국토정중앙면 정중앙로 294
372,강원특별자치도,양구군,양구사랑나눔복지회,강원도 양구군 양구읍 양구새싹로 7-11,033-482-0999,2024-01-01 ~ 2026-12-31 (3년),사회복지법인,해당없음,해당,해당,해당,해당없음,해당없음,38.10272436,127.9899025,강원도 양구군 양구읍 양구새싹로 7-11
373,강원특별자치도,양양군,행복노인복지센터,강원도 양양군 양양읍 북문길 35-11,033-673-2341,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당,해당,해당,해당없음,해당없음,38.07854007,128.6196205,강원도 양양군 양양읍 북문길 35-11
374,강원특별자치도,영월군,영월돌봄사회적협동조합,강원도 영월군 영월읍 단종로 113,033-373-2581,2023-01-01 ~ 2025-12-31 (3년),협동조합,해당없음,해당,해당없음,해당없음,해당없음,해당없음,37.19482834,128.4548855,강원도 영월군 영월읍 단종로 113
375,강원특별자치도,영월군,영월군사회복지협의회,강원특별자치도 영월군 영월읍 봉래산로 189 영월군통합돌봄센터,033-373-0199,2023-01-01 ~ 2025-12-31 (3년),사회복지협의회,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.19974032,128.4738077,강원특별자치도 영월군 영월읍 봉래산로 189 영월군통합돌봄센터
376,강원특별자치도,인제군,인제군사회복지관,강원도 인제군 인제읍 비봉로44번길 100. 인제군사회복지관2층,033-461-0660,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당,해당,해당없음,해당없음,해당없음,해당없음,38.06100211,128.1649069,강원도 인제군 인제읍 비봉로44번길 100. 인제군사회복지관2층
377,강원특별자치도,정선군,정선군 사회복지협의회,강원특별자치도 정선군 정선읍 녹송4길 71 (정선군 업무지원센터) 2층 정선군사회복지협의회,033-562-2448,2024-01-01 ~ 2028-12-31 (5년),사회복지협의회,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.38406739,128.6738833,강원특별자치도 정선군 정선읍 녹송4길 71  2층 정선군사회복지협의회
378,강원특별자치도,정선군,새별이노인복지센터,강원 정선군 임계면 새벼리길 83-29 1층,033-562-9606,2024-01-01 ~ 2024-12-31 (1년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당,37.49626457,128.8668751,강원 정선군 임계면 새벼리길 83-29 1층
379,강원특별자치도,철원군,철원군사회복지협의회,강원 철원군 갈말읍 명성로 154 (신철원버스터미널) 2층,033-452-4567,2022-01-01 ~ 2023-12-31 (2년),사회복지협의회,해당없음,해당,해당없음,해당없음,해당없음,해당,38.14536817,127.3081484,강원 철원군 갈말읍 명성로 154  2층
380,강원특별자치도,철원군,엘림노인복지센터,강원도 철원군 동송읍 이평2로 31,033-455-4610,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,38.20712934,127.2227994,강원도 철원군 동송읍 이평2로 31
381,강원특별자치도,평창군,평창노인복지센터,강원 평창군 평창읍 종부로 61,033-334-0116,2024-01-01 ~ 2025-12-31 (6년),재가노인복지시설,해당없음,해당,해당없음,해당,해당없음,해당없음,37.35596696,128.3908745,강원 평창군 평창읍 종부로 61
382,강원특별자치도,홍천군,홍천군노인복지관,강원도 홍천군 홍천읍 태학여내길 80-3,033-430-8700,2023-07-01 ~ 2027-06-30 (5년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,37.7187889,127.9036152,강원도 홍천군 홍천읍 태학여내길 80-3
383,강원특별자치도,홍천군,사회복지법인 중앙원,강원특별자치도 홍천군 북방면 하화계길45번길 9 2층,033-433-7194,2024-01-01 ~ 2028-06-30 (5년),사회복지법인,해당없음,해당없음,해당없음,해당없음,해당,해당없음,37.69303759,127.8562153,강원특별자치도 홍천군 북방면 하화계길45번길 9 2층
384,강원특별자치도,화천군,화천군청,강원도 화천군 화천읍 화천새싹길45 화천군청 주민복지과 경로복지계,033-440-2349,2023-01-01 ~ 2025-12-31 (3년),직영(지자체),해당없음,해당,해당없음,해당없음,해당없음,해당,38.10562069,127.7079275,강원도 화천군 화천읍 화천새싹길45 화천군청 주민복지과 경로복지계
385,강원특별자치도,횡성군,횡성노인복지센터,강원도 횡성군 둔내면 둔내로 93,033-344-7173,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당,37.51139594,128.2199741,강원도 횡성군 둔내면 둔내로 93
386,강원특별자치도,횡성군,횡성군사회복지협의회,강원특별자치도 횡성군 횡성읍 읍하리 500-1,033-342-1104,2024-01-01 ~ 2026-12-31 (3년),사회복지협의회,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.4941779,127.9834715,강원특별자치도 횡성군 횡성읍 읍하리 500-1
387,충청북도,괴산군,괴산군청,충청북도 괴산군 괴산읍 읍내로3길 11,043-832-8307,2024-01-01 ~ 2024-12-31 (1년),직영(지자체),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.8062641,127.7915509,충청북도 괴산군 괴산읍 읍내로3길 11
388,충청북도,단양군,단양노인복지관,충청북도 단양군 단양읍 별곡1로 17,043-421-7100,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당,36.9848571,128.3675049,충청북도 단양군 단양읍 별곡1로 17
389,충청북도,보은군,보은군노인장애인복지관,충청북도 보은군 보은읍 뱃들4길 11-10,043-544-5446,2024-01-01 ~ 2027-12-31 (4년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,36.48886354,127.7246037,충청북도 보은군 보은읍 뱃들4길 11-10
390,충청북도,영동군,영동군노인복지관,충청북도 영동군 영동읍 반곡동길 13,043-742-7784,2023-02-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당,36.15849304,127.7792796,충청북도 영동군 영동읍 반곡동길 13
391,충청북도,영동군,영동군사회복지협의회,충청북도 영동군 영동읍 눈어치1로 71 사원아파트상가 1층,043-745-2104,2023-02-01 ~ 2025-12-31 (3년),사회복지협의회,해당없음,해당없음,해당없음,해당없음,해당없음,해당,36.18948711,127.7766119,충청북도 영동군 영동읍 눈어치1로 71 사원아파트상가 1층
392,충청북도,영동군,수가성재가노인복지센터,충북 영동군 영동읍 오정1길 16 (수가성재단요양원),043-745-3190,2023-02-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당,해당없음,해당,해당없음,해당,36.19367686,127.7651534,충북 영동군 영동읍 오정1길 16
393,충청북도,옥천군,옥천군노인복지관,충청북도 옥천군 옥천읍 삼양로8길 9,043-733-2500,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당,해당없음,해당,해당없음,해당,36.30394633,127.5696704,충청북도 옥천군 옥천읍 삼양로8길 9
394,충청북도,음성군,음성군노인복지관,충청북도 음성군 금왕읍 백야로14,043-883-2470,2024-01-01 ~ 2027-12-31 (4년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,36.98729615,127.5964107,충청북도 음성군 금왕읍 백야로14
395,충청북도,음성군,음성군사회복지협의회,"충북 음성군 음성읍 중앙로40번길 9-1 더테라스시티 201호, 202호",043-872-8288,2024-01-01 ~ 2027-12-31 (4년),사회복지협의회,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.92824618,127.6901784,충북 음성군 음성읍 중앙로40번길 9-1 더테라스시티 201호
396,충청북도,제천시,제천시노인종합복지관,"충북 제천시 의림대로 174 (중앙로2가, 노인 종합복지관)",043-652-3457,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,37.14274457,128.2136236,충북 제천시 의림대로 174
397,충청북도,제천시,명락노인종합복지관,충청북도 제천시 내제로 5길 12,043-648-3337,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,37.13276896,128.2034467,충청북도 제천시 내제로 5길 12
398,충청북도,제천시,제천종합사회복지관,"충북 제천시 용두대로23길 14 (하소동, 하소주공4단지아파트)",043-644-2983,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당없음,해당,해당없음,해당없음,해당없음,해당,37.14624168,128.1972588,충북 제천시 용두대로23길 14
399,충청북도,증평군,삼보사회복지관,충청북도 증평군 증평읍 창신로85 1층,043-836-6040,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.77851945,127.5812876,충청북도 증평군 증평읍 창신로85 1층
400,충청북도,진천군,진천군노인복지관,충청북도 진천군 진천읍 문화7길 12-6,043-533-2715,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당,해당없음,해당,해당없음,해당,36.8615535,127.4396077,충청북도 진천군 진천읍 문화7길 12-6
401,충청북도,진천군,생거진천노인복지센터,충청북도 진천군 문백면 문덕1길 63,043-532-9969,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당,해당없음,해당,해당없음,해당없음,36.84401081,127.4564623,충청북도 진천군 문백면 문덕1길 63
402,충청북도,청주시,청주시독거노인통합지원센터,충청북도 청주시 상당구 단재로 395,043-287-1441,2023-01-01 ~ 2025-12-31 (3년),지방자치단체 사회복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,36.59906899,127.6163101,충청북도 청주시 상당구 단재로 395
403,충청북도,청주시,청주서원노인복지관,충청북도 청주시 서원구 원흥로 11-10,043-238-3786,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.61327053,127.4689834,충청북도 청주시 서원구 원흥로 11-10
404,충청북도,청주시,청주가경노인복지관,충청북도 청주시 흥덕구 서부로 1225 청주가경노인복지관,043-236-0111,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,36.61174516,127.4367361,충청북도 청주시 흥덕구 서부로 1225 청주가경노인복지관
405,충청북도,청주시,우암소규모노인종합센터,충청북도 청주시 흥덕구 무심서로1099번길 130 (청주시 흥덕구 원평동 108-1번지),043-215-2496,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,36.67438264,127.4436833,충청북도 청주시 흥덕구 무심서로1099번길 130
406,충청북도,청주시,사회적협동조합 휴먼케어,충북 청주시 청원구 충청대로 93 (율량동) 3층,043-212-9194,2023-01-01 ~ 2025-12-31 (3년),협동조합,해당,해당없음,해당,해당없음,해당없음,해당없음,36.66482789,127.4928773,충북 청주시 청원구 충청대로 93  3층
407,충청북도,청주시,목령종합사회복지관,충청북도 청주시 청원구 오창읍 중심상업2로 32,043-216-3060,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.71438735,127.4303862,충청북도 청주시 청원구 오창읍 중심상업2로 32
408,충청북도,충주시,충주시노인복지관,충청북도 충주시 대가미13길 20,043-857-8683,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,36.9810235,127.926731,충청북도 충주시 대가미13길 20
409,충청북도,충주시,사회적협동조합 충주돌봄,충북 충주시 예성로 130 (용산동) 2층,043-855-2890,2023-01-01 ~ 2025-12-31 (3년),협동조합,해당,해당없음,해당없음,해당없음,해당없음,해당없음,36.96852865,127.9337728,충북 충주시 예성로 130  2층
410,충청북도,충주시,충주종합사회복지관,"충북 충주시 주공길 7 (연수동, 충주종합사회복지관)",043-855-3011,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당없음,해당,해당없음,해당없음,해당없음,해당없음,36.98808554,127.9364151,충북 충주시 주공길 7
411,충청남도,계룡시,계룡시노인복지관,충청남도 계룡시 금암로 182,042-841-2103,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,36.27538379,127.2561819,충청남도 계룡시 금암로 182
412,충청남도,공주시,금강종합사회복지관,충청남도 공주시 우금티로 709-14,041-856-6110,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.44315129,127.1240785,충청남도 공주시 우금티로 709-14
413,충청남도,공주시,공주시노인종합복지관,충청남도 공주시 당간지주길 7,041-852-8861,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당,36.45209055,127.1221273,충청남도 공주시 당간지주길 7
414,충청남도,공주시,공주노인복지센터,충청남도 공주시 한적2길 41-20,041-853-6700,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당,해당,해당없음,해당,해당없음,해당없음,36.4803274,127.1399911,충청남도 공주시 한적2길 41-20
415,충청남도,공주시,공주효센터,충청남도 공주시 이인면 검바위로1,041-732-5550,2024-01-01 ~ 2026-12-31 (3년),요양시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.3454239,127.0508457,충청남도 공주시 이인면 검바위로1
416,충청남도,금산군,금산군청,충청남도 금산군 금산읍 군청길13 주민복지지원과 노인팀,041-750-2167,2020-01-01 ~ 2024-12-31 (5년),직영(지자체),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.10890945,127.4877989,충청남도 금산군 금산읍 군청길13 주민복지지원과 노인팀
417,충청남도,논산시,논산시어르신돌봄센터,충남 논산시 해월로144번길 37 (반월동),041-746-5802,2024-01-01 ~ 2028-12-31 (5년),직영(지자체),해당없음,해당,해당없음,해당없음,해당없음,해당없음,36.20261099,127.0845723,충남 논산시 해월로144번길 37
418,충청남도,당진시,당진시노인복지관,충청남도 당진시 시청1로 38 당진시노인복지관,041-360-3100,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,36.89165032,126.6434439,충청남도 당진시 시청1로 38 당진시노인복지관
419,충청남도,당진시,당진시남부노인복지관,충청남도 당진시 합덕읍 예덕로 411,041-363-5330,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.79705489,126.7503288,충청남도 당진시 합덕읍 예덕로 411
420,충청남도,당진시,송산사회복지관,충청남도 당진시 송산면 장갈길 15,041-353-7306,2024-01-01 ~ 2027-12-31 (4년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.93463575,126.6793096,충청남도 당진시 송산면 장갈길 15
421,충청남도,보령시,보령댐노인복지관,충청남도 보령시 미산면 판미로 1471,041-931-8490,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.25631149,126.6749739,충청남도 보령시 미산면 판미로 1471
422,충청남도,보령시,보령노인종합복지관,충청남도 보령시 대천로 113(죽정동),041-931-7677,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당,해당없음,해당없음,36.35604917,126.6038983,충청남도 보령시 대천로 113
423,충청남도,보령시,보령지역자활센터,충청남도 보령시 원동1길 95(2층),041-936-8509,2022-01-01 ~ 2024-12-31 (3년),지역자활센터,해당없음,해당없음,해당,해당없음,해당없음,해당없음,36.35030449,126.6001732,충청남도 보령시 원동1길 95
424,충청남도,부여군,부여노인복지센터,충청남도 부여군 부여읍 청마로 93,041-836-3605,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,36.28260455,126.9513219,충청남도 부여군 부여읍 청마로 93
425,충청남도,부여군,부여돌보미사회적협동조합,충남 부여군 구룡면 흥수로183번길 13,041-833-1887,2023-01-01 ~ 2025-12-31 (3년),협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.25232174,126.8113253,충남 부여군 구룡면 흥수로183번길 13
426,충청남도,부여군,동산노인복지센터,충남 부여군 규암면 계백로 41-3,,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,36.27598653,126.8875951,충남 부여군 규암면 계백로 41-3
427,충청남도,부여군,부여청룡나눔사업단,충남 부여군 규암면 진변로 172-64,041-835-5550,2023-01-01 ~ 2025-12-31 (3년),사회복지법인,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.28856529,126.8922802,충남 부여군 규암면 진변로 172-64
428,충청남도,서산시,서산노인복지센터,충남 서산시 지곡면 도성로 369-7,041-669-9331,2024-01-01 ~ 2024-12-31 (1년),재가노인복지시설,해당,해당없음,해당,해당,해당없음,해당없음,36.87250288,126.421049,충남 서산시 지곡면 도성로 369-7
429,충청남도,서산시,엘림재가노인복지센터,충청남도 서산시 쌍연북3길 33(엘림재가노인복지센터 3층),041-664-0661,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,36.78772465,126.4676233,충청남도 서산시 쌍연북3길 33
430,충청남도,서천군,서천노인복지센터,충청남도 서천군 서천읍 구암신송로 138-16,041-952-3500,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당,해당없음,해당,해당,해당없음,해당없음,36.07667669,126.6698997,충청남도 서천군 서천읍 구암신송로 138-16
431,충청남도,서천군,서천군노인복지관,충청남도 서천군 종천면 충서로 302번길 88-26,041-950-1233,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,36.11074642,126.6564545,충청남도 서천군 종천면 충서로 302번길 88-26
432,충청남도,아산시,아산시노인종합복지관,충청남도 아산시 남산로 10,041-544-1409,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당,해당,해당없음,해당,해당없음,해당,36.782022,126.9953173,충청남도 아산시 남산로 10
433,충청남도,아산시,아산종합사회복지관,충청남도 아산시 영인면 아산온천로 3번길 8,041-542-2308,2021-01-01 ~ 2028-12-31 (8년),사회복지관,해당없음,해당,해당없음,해당없음,해당없음,해당,36.85405781,126.958727,충청남도 아산시 영인면 아산온천로 3번길 8
434,충청남도,아산시,온양노인복지센터,충청남도 아산시 모종로 110 (온양노인복지센터),041-543-4411,2024-01-01 ~ 2028-12-31 (5년),재가노인복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.78539477,127.0291033,충청남도 아산시 모종로 110
435,충청남도,예산군,예산군노인종합복지관,충청남도 예산군 예산읍 벚꽃로 214-11,041-330-2901,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당,해당,해당,해당없음,해당없음,36.69673536,126.8371807,충청남도 예산군 예산읍 벚꽃로 214-11
